#LIBRARY    JENDL/AN-2005
#REACTION   BE-9(HE4,N`)C-12-L0,SIG
#NUCLEUS    Be-9
#MF         3
#MT         50
#EN-MIN     200000
#EN-MAX     1.5e+07
#E,eV        Sig,b        Interpolation
 200000      0            Lin-Lin
 260000      3.2891E-08   Lin-Lin
 280000      3.305E-08    Lin-Lin
 300000      5.0009E-08   Lin-Lin
 320000      9.0778E-08   Lin-Lin
 340000      1.7402E-07   Lin-Lin
 360000      3.5721E-07   Lin-Lin
 380000      7.2956E-07   Lin-Lin
 400000      1.5737E-06   Lin-Lin
 420000      3.4876E-06   Lin-Lin
 440000      7.9747E-06   Lin-Lin
 460000      1.9268E-05   Lin-Lin
 480000      4.7038E-05   Lin-Lin
 500000      0.00010475   Lin-Lin
 520000      0.00016487   Lin-Lin
 540000      0.00017219   Lin-Lin
 560000      0.00015129   Lin-Lin
 580000      0.00013246   Lin-Lin
 600000      0.00013034   Lin-Lin
 614500      0.0003788    Lin-Lin
 617100      0.00065034   Lin-Lin
 620000      0.00054724   Lin-Lin
 640000      0.00014273   Lin-Lin
 660000      0.00012504   Lin-Lin
 680000      0.00012636   Lin-Lin
 700000      0.00013162   Lin-Lin
 720000      0.00013902   Lin-Lin
 740000      0.00014897   Lin-Lin
 760000      0.00016105   Lin-Lin
 780000      0.00017492   Lin-Lin
 800000      0.00018977   Lin-Lin
 820000      0.00020926   Lin-Lin
 840000      0.00023059   Lin-Lin
 860000      0.00025346   Lin-Lin
 900000      0.00030953   Lin-Lin
 920000      0.00034224   Lin-Lin
 940000      0.00037995   Lin-Lin
 960000      0.00042259   Lin-Lin
 980000      0.0004685    Lin-Lin
 1E+06       0.0005183    Lin-Lin
 1.02E+06    0.00057726   Lin-Lin
 1.04E+06    0.00065161   Lin-Lin
 1.06E+06    0.00071689   Lin-Lin
 1.08E+06    0.00079958   Lin-Lin
 1.1E+06     0.00089669   Lin-Lin
 1.12E+06    0.0010056    Lin-Lin
 1.14E+06    0.0011111    Lin-Lin
 1.16E+06    0.0012549    Lin-Lin
 1.18E+06    0.0014123    Lin-Lin
 1.2E+06     0.0015765    Lin-Lin
 1.22E+06    0.0017853    Lin-Lin
 1.24E+06    0.0020296    Lin-Lin
 1.26E+06    0.0023157    Lin-Lin
 1.28E+06    0.002627     Lin-Lin
 1.3E+06     0.0030263    Lin-Lin
 1.32E+06    0.0034635    Lin-Lin
 1.34E+06    0.003976     Lin-Lin
 1.36E+06    0.0046235    Lin-Lin
 1.38E+06    0.0054077    Lin-Lin
 1.4E+06     0.0064492    Lin-Lin
 1.42E+06    0.0076139    Lin-Lin
 1.44E+06    0.0092618    Lin-Lin
 1.46E+06    0.01125      Lin-Lin
 1.48E+06    0.013822     Lin-Lin
 1.5E+06     0.017084     Lin-Lin
 1.52E+06    0.018062     Lin-Lin
 1.54E+06    0.01878      Lin-Lin
 1.56E+06    0.019284     Lin-Lin
 1.58E+06    0.019622     Lin-Lin
 1.6E+06     0.019843     Lin-Lin
 1.66E+06    0.020276     Lin-Lin
 1.68E+06    0.020503     Lin-Lin
 1.7E+06     0.02085      Lin-Lin
 1.72E+06    0.021367     Lin-Lin
 1.74E+06    0.022099     Lin-Lin
 1.76E+06    0.023096     Lin-Lin
 1.78E+06    0.024404     Lin-Lin
 1.8E+06     0.026072     Lin-Lin
