#LIBRARY    JENDL/AN-2005
#REACTION   BE-9(HE4,N`)C-12-L1,SIG
#NUCLEUS    Be-9
#MF         3
#MT         51
#EN-MIN     1.5e+06
#EN-MAX     1.5e+07
#E,eV        Sig,b        Interpolation
 1.5E+06     0            Lin-Lin
 1.52E+06    0.002587     Lin-Lin
 1.54E+06    0.005587     Lin-Lin
 1.56E+06    0.008359     Lin-Lin
 1.58E+06    0.010241     Lin-Lin
 1.6E+06     0.011815     Lin-Lin
 1.62E+06    0.013641     Lin-Lin
 1.64E+06    0.016431     Lin-Lin
 1.66E+06    0.02059      Lin-Lin
 1.68E+06    0.026395     Lin-Lin
 1.7E+06     0.034449     Lin-Lin
 1.72E+06    0.044213     Lin-Lin
 1.74E+06    0.055901     Lin-Lin
 1.76E+06    0.077904     Lin-Lin
 1.78E+06    0.1116       Lin-Lin
 1.8E+06     0.17664      Lin-Lin
 1.82E+06    0.19628      Lin-Lin
 1.84E+06    0.22998      Lin-Lin
 1.86E+06    0.2507       Lin-Lin
 1.88E+06    0.26254      Lin-Lin
 1.9E+06     0.25836      Lin-Lin
 1.92E+06    0.22703      Lin-Lin
 1.94E+06    0.19888      Lin-Lin
 1.96E+06    0.17919      Lin-Lin
 1.98E+06    0.16369      Lin-Lin
 2E+06       0.15075      Lin-Lin
 2.02E+06    0.13907      Lin-Lin
 2.04E+06    0.12849      Lin-Lin
 2.06E+06    0.11918      Lin-Lin
 2.08E+06    0.11126      Lin-Lin
 2.1E+06     0.10469      Lin-Lin
 2.12E+06    0.09921      Lin-Lin
 2.14E+06    0.094568     Lin-Lin
 2.16E+06    0.090505     Lin-Lin
 2.22E+06    0.079287     Lin-Lin
 2.26E+06    0.071753     Lin-Lin
 2.28E+06    0.068341     Lin-Lin
 2.3E+06     0.065382     Lin-Lin
 2.32E+06    0.063032     Lin-Lin
 2.34E+06    0.061315     Lin-Lin
 2.36E+06    0.060127     Lin-Lin
 2.38E+06    0.059358     Lin-Lin
 2.4E+06     0.058898     Lin-Lin
 2.44E+06    0.058462     Lin-Lin
 2.46E+06    0.058346     Lin-Lin
 2.48E+06    0.060084     Lin-Lin
 2.5E+06     0.067303     Lin-Lin
 2.52E+06    0.073517     Lin-Lin
 2.54E+06    0.066598     Lin-Lin
 2.56E+06    0.06993      Lin-Lin
 2.58E+06    0.078568     Lin-Lin
 2.6E+06     0.077499     Lin-Lin
 2.62E+06    0.071493     Lin-Lin
 2.64E+06    0.071171     Lin-Lin
 2.66E+06    0.072001     Lin-Lin
 2.68E+06    0.072028     Lin-Lin
 2.7E+06     0.067055     Lin-Lin
 2.72E+06    0.064733     Lin-Lin
 2.74E+06    0.067352     Lin-Lin
 2.76E+06    0.065929     Lin-Lin
 2.78E+06    0.060084     Lin-Lin
 2.8E+06     0.056791     Lin-Lin
 2.82E+06    0.056344     Lin-Lin
 2.86E+06    0.058114     Lin-Lin
 2.88E+06    0.058262     Lin-Lin
 2.9E+06     0.057896     Lin-Lin
 2.94E+06    0.056511     Lin-Lin
 2.96E+06    0.055963     Lin-Lin
 2.98E+06    0.055784     Lin-Lin
 3E+06       0.055983     Lin-Lin
 3.02E+06    0.056519     Lin-Lin
 3.04E+06    0.057356     Lin-Lin
 3.06E+06    0.058453     Lin-Lin
 3.08E+06    0.059771     Lin-Lin
 3.12E+06    0.062869     Lin-Lin
 3.18E+06    0.06791      Lin-Lin
 3.22E+06    0.070954     Lin-Lin
 3.24E+06    0.072272     Lin-Lin
 3.26E+06    0.073424     Lin-Lin
 3.28E+06    0.074385     Lin-Lin
 3.3E+06     0.075133     Lin-Lin
 3.32E+06    0.075644     Lin-Lin
 3.34E+06    0.075896     Lin-Lin
 3.36E+06    0.075904     Lin-Lin
 3.4E+06     0.075387     Lin-Lin
 3.48E+06    0.073639     Lin-Lin
 3.52E+06    0.073173     Lin-Lin
 3.54E+06    0.073201     Lin-Lin
 3.56E+06    0.073465     Lin-Lin
 3.58E+06    0.073989     Lin-Lin
 3.62E+06    0.075563     Lin-Lin
 3.68E+06    0.078295     Lin-Lin
 3.7E+06     0.079702     Lin-Lin
 3.72E+06    0.081858     Lin-Lin
 3.74E+06    0.084476     Lin-Lin
 3.76E+06    0.086672     Lin-Lin
 3.78E+06    0.087536     Lin-Lin
 3.8E+06     0.086223     Lin-Lin
 3.82E+06    0.083409     Lin-Lin
 3.84E+06    0.081292     Lin-Lin
 3.86E+06    0.082134     Lin-Lin
 3.88E+06    0.088199     Lin-Lin
 3.9E+06     0.10178      Lin-Lin
 3.92E+06    0.12586      Lin-Lin
 3.94E+06    0.16285      Lin-Lin
 3.96E+06    0.20943      Lin-Lin
 3.98E+06    0.24422      Lin-Lin
 4E+06       0.24877      Lin-Lin
 4.02E+06    0.22522      Lin-Lin
 4.04E+06    0.193        Lin-Lin
 4.06E+06    0.17101      Lin-Lin
 4.08E+06    0.15445      Lin-Lin
 4.1E+06     0.14534      Lin-Lin
 4.12E+06    0.14492      Lin-Lin
 4.14E+06    0.15017      Lin-Lin
 4.16E+06    0.15706      Lin-Lin
 4.18E+06    0.16318      Lin-Lin
 4.2E+06     0.16775      Lin-Lin
 4.24E+06    0.17362      Lin-Lin
 4.26E+06    0.17926      Lin-Lin
 4.28E+06    0.18888      Lin-Lin
 4.3E+06     0.19959      Lin-Lin
 4.32E+06    0.20758      Lin-Lin
 4.34E+06    0.21223      Lin-Lin
 4.36E+06    0.21615      Lin-Lin
 4.38E+06    0.22204      Lin-Lin
 4.4E+06     0.23168      Lin-Lin
 4.42E+06    0.24297      Lin-Lin
 4.44E+06    0.25291      Lin-Lin
 4.46E+06    0.26018      Lin-Lin
 4.48E+06    0.26517      Lin-Lin
 4.5E+06     0.26831      Lin-Lin
 4.52E+06    0.27005      Lin-Lin
 4.56E+06    0.27107      Lin-Lin
 4.6E+06     0.27119      Lin-Lin
 4.62E+06    0.27167      Lin-Lin
 4.64E+06    0.27283      Lin-Lin
 4.66E+06    0.27471      Lin-Lin
 4.7E+06     0.28         Lin-Lin
 4.76E+06    0.28921      Lin-Lin
 4.78E+06    0.29271      Lin-Lin
 4.8E+06     0.29718      Lin-Lin
 4.88E+06    0.31985      Lin-Lin
 4.92E+06    0.3288       Lin-Lin
 4.96E+06    0.33527      Lin-Lin
 5E+06       0.33918      Lin-Lin
 5.04E+06    0.34076      Lin-Lin
 5.1E+06     0.34201      Lin-Lin
 5.14E+06    0.34464      Lin-Lin
 5.16E+06    0.34715      Lin-Lin
 5.18E+06    0.35065      Lin-Lin
 5.26E+06    0.36807      Lin-Lin
 5.28E+06    0.37141      Lin-Lin
 5.3E+06     0.3736       Lin-Lin
 5.32E+06    0.37429      Lin-Lin
 5.34E+06    0.37346      Lin-Lin
 5.36E+06    0.37148      Lin-Lin
 5.46E+06    0.35606      Lin-Lin
 5.5E+06     0.3512       Lin-Lin
 5.52E+06    0.34958      Lin-Lin
 5.54E+06    0.34867      Lin-Lin
 5.56E+06    0.3486       Lin-Lin
 5.58E+06    0.34947      Lin-Lin
 5.62E+06    0.35312      Lin-Lin
 5.64E+06    0.35701      Lin-Lin
 5.66E+06    0.37633      Lin-Lin
 5.68E+06    0.38662      Lin-Lin
 5.7E+06     0.40053      Lin-Lin
 5.72E+06    0.3899       Lin-Lin
 5.74E+06    0.377        Lin-Lin
 5.76E+06    0.3622       Lin-Lin
 5.78E+06    0.3458       Lin-Lin
 5.8E+06     0.32815      Lin-Lin
 5.82E+06    0.30978      Lin-Lin
 5.86E+06    0.28739      Lin-Lin
 5.88E+06    0.27666      Lin-Lin
 5.9E+06     0.26679      Lin-Lin
 5.92E+06    0.25808      Lin-Lin
 5.94E+06    0.25044      Lin-Lin
 5.96E+06    0.24371      Lin-Lin
 5.98E+06    0.23769      Lin-Lin
 6.02E+06    0.22711      Lin-Lin
 6.1E+06     0.20705      Lin-Lin
 6.16E+06    0.19202      Lin-Lin
 6.2E+06     0.18327      Lin-Lin
 6.22E+06    0.17954      Lin-Lin
 6.24E+06    0.17634      Lin-Lin
 6.26E+06    0.17361      Lin-Lin
 6.3E+06     0.16919      Lin-Lin
 6.4E+06     0.16006      Lin-Lin
 6.46E+06    0.15331      Lin-Lin
 6.54E+06    0.14413      Lin-Lin
 6.58E+06    0.14035      Lin-Lin
 6.62E+06    0.13747      Lin-Lin
 6.66E+06    0.13535      Lin-Lin
 6.72E+06    0.13324      Lin-Lin
 6.94E+06    0.12859      Lin-Lin
 6.98E+06    0.12751      Lin-Lin
 7E+06       0.12643      Lin-Lin
 7.06E+06    0.11866      Lin-Lin
 7.1E+06     0.11394      Lin-Lin
 7.14E+06    0.10977      Lin-Lin
 7.18E+06    0.10634      Lin-Lin
 7.2E+06     0.10495      Lin-Lin
 7.22E+06    0.10396      Lin-Lin
 7.24E+06    0.1032       Lin-Lin
 7.26E+06    0.10265      Lin-Lin
 7.3E+06     0.10221      Lin-Lin
 7.34E+06    0.10261      Lin-Lin
 7.38E+06    0.10379      Lin-Lin
 7.4E+06     0.10468      Lin-Lin
 7.44E+06    0.10719      Lin-Lin
 7.48E+06    0.11037      Lin-Lin
 7.54E+06    0.11541      Lin-Lin
 7.58E+06    0.11809      Lin-Lin
 7.6E+06     0.119        Lin-Lin
 7.62E+06    0.11885      Lin-Lin
 7.64E+06    0.11825      Lin-Lin
 7.66E+06    0.1172       Lin-Lin
 7.68E+06    0.11575      Lin-Lin
 7.7E+06     0.11396      Lin-Lin
 7.74E+06    0.10959      Lin-Lin
 7.8E+06     0.10182      Lin-Lin
 7.86E+06    0.095946     Lin-Lin
 8E+06       0.091604     Lin-Lin
 8.16E+06    0.079379     Lin-Lin
 8.2E+06     0.076468     Lin-Lin
 8.3E+06     0.070281     Lin-Lin
 8.38E+06    0.065758     Lin-Lin
 8.4E+06     0.064691     Lin-Lin
 8.48E+06    0.07001      Lin-Lin
 8.54E+06    0.07438      Lin-Lin
 8.6E+06     0.079165     Lin-Lin
 8.66E+06    0.085221     Lin-Lin
 8.72E+06    0.091755     Lin-Lin
 8.8E+06     0.10101      Lin-Lin
 8.9E+06     0.10992      Lin-Lin
 8.96E+06    0.11469      Lin-Lin
 9E+06       0.11749      Lin-Lin
 9.06E+06    0.11659      Lin-Lin
 9.12E+06    0.11499      Lin-Lin
 9.2E+06     0.11206      Lin-Lin
 9.36E+06    0.09406      Lin-Lin
 9.4E+06     0.089718     Lin-Lin
 9.5E+06     0.080357     Lin-Lin
 9.58E+06    0.073342     Lin-Lin
 9.6E+06     0.071652     Lin-Lin
 9.7E+06     0.064909     Lin-Lin
 9.8E+06     0.05862      Lin-Lin
 9.92E+06    0.052555     Lin-Lin
 1E+07       0.048718     Lin-Lin
 1.05E+07    0.04373      Lin-Lin
 1.1E+07     0.0404       Lin-Lin
