#LIBRARY    ENDF/B-VII.0
#REACTION   H-3(T,2N)HE-4,SIG
#NUCLEUS    H-3
#MF         3
#MT         16
#EN-MIN     100
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 100         0            Lin-Lin
 200         7.7423E-32   Lin-Lin
 400         2.4251E-31   Lin-Lin
 500         3.0969E-31   Lin-Lin
 1000        9.2179E-22   Lin-Lin
 2000        3.7603E-15   Lin-Lin
 2828.43     1.2005E-12   Lin-Lin
 3363.59     1.4742E-11   Lin-Lin
 3668.02     4.7469E-11   Lin-Lin
 3830.41     8.3483E-11   Lin-Lin
 3872.12     9.5941E-11   Lin-Lin
 3887.88     1.0106E-10   Lin-Lin
 3915.61     1.1065E-10   Lin-Lin
 3944.42     1.2144E-10   Lin-Lin
 3964.18     1.2938E-10   Lin-Lin
 3988.02     1.3955E-10   Lin-Lin
 4012.69     1.5081E-10   Lin-Lin
 4037.99     1.6317E-10   Lin-Lin
 4063.06     1.7629E-10   Lin-Lin
 4087.88     1.9019E-10   Lin-Lin
 4112.46     2.0488E-10   Lin-Lin
 4136.81     2.2041E-10   Lin-Lin
 4160.91     2.3678E-10   Lin-Lin
 4184.78     2.5403E-10   Lin-Lin
 4208.4      2.7219E-10   Lin-Lin
 4231.79     2.9126E-10   Lin-Lin
 4266.47     3.217E-10    Lin-Lin
 4300.52     3.5425E-10   Lin-Lin
 4334.13     3.8915E-10   Lin-Lin
 4367.12     4.263E-10    Lin-Lin
 4399.67     4.6594E-10   Lin-Lin
 4431.61     5.0792E-10   Lin-Lin
 4463.11     5.5251E-10   Lin-Lin
 4494.01     5.9951E-10   Lin-Lin
 4524.47     6.4923E-10   Lin-Lin
 4554.35     7.0142E-10   Lin-Lin
 4583.79     7.5638E-10   Lin-Lin
 4612.66     8.1386E-10   Lin-Lin
 4641.1      8.7416E-10   Lin-Lin
 4678.49     9.5931E-10   Lin-Lin
 4715.01     1.0493E-09   Lin-Lin
 4750.65     1.14412E-09  Lin-Lin
 4785.44     1.24371E-09  Lin-Lin
 4819.38     1.34802E-09  Lin-Lin
 4852.5      1.45698E-09  Lin-Lin
 4884.79     1.5705E-09   Lin-Lin
 4916.28     1.68845E-09  Lin-Lin
 4946.98     1.81073E-09  Lin-Lin
 4991.7      2.00246E-09  Lin-Lin
 5034.48     2.20202E-09  Lin-Lin
 5075.84     2.41097E-09  Lin-Lin
 5115.37     2.62645E-09  Lin-Lin
 5153.56     2.85009E-09  Lin-Lin
 5190.04     3.07884E-09  Lin-Lin
 5225.25     3.31439E-09  Lin-Lin
 5270.6      3.64039E-09  Lin-Lin
 5313.47     3.97348E-09  Lin-Lin
 5353.98     4.31186E-09  Lin-Lin
 5392.24     4.65379E-09  Lin-Lin
 5428.35     4.99759E-09  Lin-Lin
 5478.47     5.5106E-09   Lin-Lin
 5524.87     6.0249E-09   Lin-Lin
 5566.87     6.52525E-09  Lin-Lin
 5605.69     7.01878E-09  Lin-Lin
 5653.52     7.67041E-09  Lin-Lin
 5695.71     8.28721E-09  Lin-Lin
 5750.32     9.14778E-09  Lin-Lin
 5780.95     9.66296E-09  Lin-Lin
 5834.95     1.06312E-08  Lin-Lin
 5891.17     1.17255E-08  Lin-Lin
 5929.81     1.25318E-08  Lin-Lin
 5976.51     1.35687E-08  Lin-Lin
 6027.03     1.4771E-08   Lin-Lin
 6080.6      1.61432E-08  Lin-Lin
 6132.96     1.75867E-08  Lin-Lin
 6184.1      1.91008E-08  Lin-Lin
 6234.06     2.06843E-08  Lin-Lin
 6282.84     2.23358E-08  Lin-Lin
 6330.46     2.40539E-08  Lin-Lin
 6376.93     2.58366E-08  Lin-Lin
 6422.28     2.7682E-08   Lin-Lin
 6488.4      3.05701E-08  Lin-Lin
 6551.74     3.357E-08    Lin-Lin
 6613.03     3.67043E-08  Lin-Lin
 6671.7      3.99301E-08  Lin-Lin
 6728.42     4.32713E-08  Lin-Lin
 6782.66     4.66821E-08  Lin-Lin
 6835.07     5.01879E-08  Lin-Lin
 6902.63     5.50291E-08  Lin-Lin
 6966.58     5.99638E-08  Lin-Lin
 7027.06     6.49654E-08  Lin-Lin
 7084.24     7.00084E-08  Lin-Lin
 7138.28     7.50682E-08  Lin-Lin
 7214.13     8.26807E-08  Lin-Lin
 7282.93     9.01291E-08  Lin-Lin
 7346.63     9.75133E-08  Lin-Lin
 7425.29     1.07315E-07  Lin-Lin
 7494.81     1.16642E-07  Lin-Lin
 7556.17     1.25421E-07  Lin-Lin
 7634.07     1.37344E-07  Lin-Lin
 7699.88     1.48131E-07  Lin-Lin
 7773.84     1.61076E-07  Lin-Lin
 7853.87     1.76116E-07  Lin-Lin
 7926.6      1.90766E-07  Lin-Lin
 8000        2.0655E-07   Lin-Lin
 8083.24     2.25722E-07  Lin-Lin
 8163.84     2.4565E-07   Lin-Lin
 8241.03     2.66059E-07  Lin-Lin
 8315.7      2.87099E-07  Lin-Lin
 8412.11     3.16249E-07  Lin-Lin
 8503.52     3.46064E-07  Lin-Lin
 8590.11     3.76378E-07  Lin-Lin
 8672.09     4.07029E-07  Lin-Lin
 8749.66     4.37862E-07  Lin-Lin
 8857.6      4.83888E-07  Lin-Lin
 8957.81     5.30043E-07  Lin-Lin
 9048.77     5.7495E-07   Lin-Lin
 9133.05     6.19242E-07  Lin-Lin
 9237.17     6.77712E-07  Lin-Lin
 9329.24     7.33039E-07  Lin-Lin
 9448.75     8.10191E-07  Lin-Lin
 9515.96     8.56352E-07  Lin-Lin
 9634.73     9.4305E-07   Lin-Lin
 9758.76     1.04093E-06  Lin-Lin
 9844.24     1.11297E-06  Lin-Lin
 9947.81     1.20551E-06  Lin-Lin
 10057.1     1.3097E-06   Lin-Lin
 10168.8     1.42333E-06  Lin-Lin
 10274.6     1.53806E-06  Lin-Lin
 10374.7     1.65333E-06  Lin-Lin
 10515.7     1.82698E-06  Lin-Lin
 10643.9     1.99711E-06  Lin-Lin
 10763       2.16595E-06  Lin-Lin
 10910.3     2.39028E-06  Lin-Lin
 11040.9     2.60392E-06  Lin-Lin
 11156.5     2.80513E-06  Lin-Lin
 11303.6     3.0785E-06   Lin-Lin
 11428.2     3.32591E-06  Lin-Lin
 11568.5     3.62285E-06  Lin-Lin
 11720.8     3.96786E-06  Lin-Lin
 11859.6     4.30388E-06  Lin-Lin
 12000       4.6658E-06   Lin-Lin
 12171       5.13757E-06  Lin-Lin
 12330.1     5.60844E-06  Lin-Lin
 12428.3     5.91546E-06  Lin-Lin
 12614.7     6.53287E-06  Lin-Lin
 12780.1     7.12079E-06  Lin-Lin
 12926.6     7.6744E-06   Lin-Lin
 13113.2     8.42641E-06  Lin-Lin
 13271.5     9.10676E-06  Lin-Lin
 13450       9.92301E-06  Lin-Lin
 13643.9     1.0871E-05   Lin-Lin
 13820.8     1.17937E-05  Lin-Lin
 14000       1.2787E-05   Lin-Lin
 14228.2     1.41405E-05  Lin-Lin
 14438.5     1.54794E-05  Lin-Lin
 14625       1.6744E-05   Lin-Lin
 14867.9     1.85036E-05  Lin-Lin
 15125.9     2.05173E-05  Lin-Lin
 15339.8     2.23063E-05  Lin-Lin
 15572.4     2.4378E-05   Lin-Lin
 15784.8     2.6389E-05   Lin-Lin
 16000       2.8548E-05   Lin-Lin
 16237.3     3.10727E-05  Lin-Lin
 16540.8     3.4532E-05   Lin-Lin
 16799.2     3.76884E-05  Lin-Lin
 17091.7     4.15054E-05  Lin-Lin
 17398.6     4.58E-05     Lin-Lin
 17739.8     5.09336E-05  Lin-Lin
 18000       5.5114E-05   Lin-Lin
 18344       6.10011E-05  Lin-Lin
 18637       6.63511E-05  Lin-Lin
 18968.8     7.27954E-05  Lin-Lin
 19330.8     8.03099E-05  Lin-Lin
 19662.6     8.76512E-05  Lin-Lin
 20000       9.5579E-05   Lin-Lin
 20434.5     0.000106461  Lin-Lin
 20867.9     0.000118125  Lin-Lin
 21296.6     0.00013048   Lin-Lin
 21720.2     0.000143514  Lin-Lin
 22138.7     0.000157212  Lin-Lin
 22551.8     0.000171556  Lin-Lin
 22959.3     0.000186526  Lin-Lin
 23361       0.000202097  Lin-Lin
 23954.3     0.000226594  Lin-Lin
 24530.8     0.00025216   Lin-Lin
 25096.5     0.000278966  Lin-Lin
 25645.1     0.00030662   Lin-Lin
 26182.2     0.000335305  Lin-Lin
 26884.9     0.000375281  Lin-Lin
 27560.9     0.000416383  Lin-Lin
 28210.1     0.000458334  Lin-Lin
 28832.5     0.000500865  Lin-Lin
 29712.1     0.000564853  Lin-Lin
 30542.8     0.000629489  Lin-Lin
 31308.6     0.000692713  Lin-Lin
 32028.1     0.00075531   Lin-Lin
 32930.4     0.000838187  Lin-Lin
 33740.8     0.000916761  Lin-Lin
 34810       0.00102641   Lin-Lin
 35962.5     0.00115217   Lin-Lin
 36932       0.00126397   Lin-Lin
 37999.7     0.00139338   Lin-Lin
 39321.8     0.0015626    Lin-Lin
 40000       0.0016532    Lin-Lin
 41516.9     0.00183791   Lin-Lin
 42959.2     0.00202548   Lin-Lin
 44297.1     0.00221019   Lin-Lin
 45561.4     0.00239445   Lin-Lin
 47156.5     0.00264077   Lin-Lin
 48597.9     0.002877     Lin-Lin
 50512.5     0.00321138   Lin-Lin
 51611.1     0.00341414   Lin-Lin
 53591.4     0.00380025   Lin-Lin
 55713.2     0.00424422   Lin-Lin
 57207.8     0.0045763    Lin-Lin
 59054.5     0.00500928   Lin-Lin
 60000       0.0052409    Lin-Lin
 63183.1     0.00587377   Lin-Lin
 65976.7     0.00646183   Lin-Lin
 69233.4     0.00718626   Lin-Lin
 71780.9     0.00778241   Lin-Lin
 75779.1     0.00877061   Lin-Lin
 80000       0.0098843    Lin-Lin
 86377.9     0.0113474    Lin-Lin
 91015.7     0.0124673    Lin-Lin
 96910.8     0.0139581    Lin-Lin
 100000      0.014769     Lin-Lin
 109545      0.0169569    Lin-Lin
 120000      0.019469     Lin-Lin
 134707      0.0226387    Lin-Lin
 140000      0.023806     Lin-Lin
 160000      0.02773      Lin-Lin
 180000      0.031253     Lin-Lin
 200000      0.034408     Lin-Lin
 220000      0.037241     Lin-Lin
 240000      0.039793     Lin-Lin
 260000      0.042105     Lin-Lin
 280000      0.044212     Lin-Lin
 300000      0.046145     Lin-Lin
 350000      0.050377     Lin-Lin
 400000      0.053985     Lin-Lin
 450000      0.05718      Lin-Lin
 524404      0.0614636    Lin-Lin
 648074      0.0680301    Lin-Lin
 800000      0.075838     Lin-Lin
 900000      0.081176     Lin-Lin
 1E+06       0.086742     Lin-Lin
 1.14891E+06 0.0955366    Lin-Lin
 1.34907E+06 0.107944     Lin-Lin
 1.54919E+06 0.120348     Lin-Lin
 1.64924E+06 0.12611      Lin-Lin
 1.7E+06     0.1289       Lin-Lin
 1.8E+06     0.1337       Lin-Lin
 1.9E+06     0.13752      Lin-Lin
 2E+06       0.14013      Lin-Lin
 2.1E+06     0.14135      Lin-Lin
 2.2E+06     0.14106      Lin-Lin
 2.3E+06     0.13928      Lin-Lin
 2.4E+06     0.13608      Lin-Lin
 2.5E+06     0.13165      Lin-Lin
 2.60914E+06 0.123334     Lin-Lin
 2.7018E+06  0.116934     Lin-Lin
 2.80474E+06 0.110445     Lin-Lin
 2.93345E+06 0.103131     Lin-Lin
 3E+06       0.099658     Lin-Lin
